TIMESTAMP,GRUP,OBJECTE,MP-ÍTEM1,MP-ÍTEM2,MP-ÍTEM3,MP-ÍTEM4,MP-COMENTARI,TUTORIA1-ÍTEM1,TUTORIA1-ÍTEM2,TUTORIA1-ÍTEM3,TUTORIA1-COMENTARI,TUTORIA2-ÍTEM1,TUTORIA2-ÍTEM2,TUTORIA2-ÍTEM3,TUTORIA2-ÍTEM4,TUTORIA2-COMENTARI,CENTRE-ÍTEM1,CENTRE-ÍTEM2,CENTRE-ÍTEM3,CENTRE-ÍTEM4,CENTRE-ÍTEM5,CENTRE-ÍTEM6,CENTRE-COMENTARI
4/11/2019 11:51:41,SMX1A,MP01 - Muntatge i manteniment d'equips,7,9,7,6,"A aquesta assignatura crec que s'hauria d'afegir més practiques manuals, ja que crec que està bé fer la teoria però crec que amb cada exercici s'hauria de posar en pràctica l'après",,,,,,,,,,,,,,,,
4/11/2019 11:51:45,SMX2A,MP08 - Aplicacions web,5,8,10,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:46,SMX2A,MP07 - Serveis de xarxa,8,7,6,7,,,,,,,,,,,,,,,,,
4/11/2019 11:51:46,SMX2A,MP10 - Empresa i iniciativa emprenedora,7,7,6,6,tot ok,,,,,,,,,,,,,,,,
4/11/2019 11:51:47,SMX1A,MP11 - Anglès tècnic,9,10,9,10,,,,,,,,,,,,,,,,,
4/11/2019 11:53:53,SMX1A,MP09 -  Formació i orientació laboral,6,8,6,6,,,,,,,,,,,,,,,,,
4/11/2019 11:51:53,SMX2A,MP08 - Aplicacions web,6,9,8,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:53,SMX2A,MP04 - Sistemes operatius en xarxa,8,9,7,6,"Debería de poner todos los ejercicios del módulo disponibles para hacer, para así, los que han acabado los iniciales, no tengan que esperar a que los demás los acaben para ellos seguir continuando.",,,,,,,,,,,,,,,,
4/11/2019 11:51:56,SMX1A,MP05 - Xarxes locals,7,5,9,9,,,,,,,,,,,,,,,,,
4/11/2019 11:51:57,SMX2A,MP08 - Aplicacions web,6,9,7,6,,,,,,,,,,,,,,,,,
4/11/2019 11:51:58,GA1,MP01 - Comunicació empresarial i atenció al client,9,10,10,10,,,,,,,,,,,,,,,,,
4/11/2019 11:52:03,SMX2A,MP07 - Serveis de xarxa,9,10,10,8,tot хорошо,,,,,,,,,,,,,,,,
4/11/2019 11:52:08,SMX1A,MP11 - Anglès tècnic,10,4,10,10,,,,,,,,,,,,,,,,,
4/11/2019 11:53:01,SMX1A,MP11 - Anglès tècnic,8,7,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:52:18,SMX1A,MP02 - Sistemes operatius monolloc,6,5,6,7,,,,,,,,,,,,,,,,,
4/11/2019 11:52:19,SMX1A,MP05 - Xarxes locals,6,4,7,7,,,,,,,,,,,,,,,,,
4/11/2019 11:52:20,SMX1A,MP02 - Sistemes operatius monolloc,5,6,8,8,"Explicació excessiva, en una sessió de tres hores, pot estar explicant dues hores i mitja.",,,,,,,,,,,,,,,,
4/11/2019 11:52:22,SMX1A,MP03 - Aplicacions ofimàtiques,8,6,9,10,,,,,,,,,,,,,,,,,
4/11/2019 11:52:23,SMX1A,El centre,,,,,,,,,,,,,,,7,7,7,8,8,7,
4/11/2019 11:52:26,SMX1A,El centre,,,,,,,,,,,,,,,7,6,7,5,5,6,
4/11/2019 11:52:26,SMX1A,MP11 - Anglès tècnic,1,4,2,5,,,,,,,,,,,,,,,,,
4/11/2019 11:52:27,SMX1A,MP05 - Xarxes locals,4,4,4,4,,,,,,,,,,,,,,,,,
4/11/2019 11:52:27,SMX2A,MP08 - Aplicacions web,8,7,8,7,,,,,,,,,,,,,,,,,
4/11/2019 11:52:29,SMX1A,El centre,,,,,,,,,,,,,,,10,6,10,6,7,10,
4/11/2019 11:52:30,SMX2A,MP07 - Serveis de xarxa,10,10,10,10,очень хорошо,,,,,,,,,,,,,,,,
4/11/2019 11:52:31,SMX2A,MP06 - Seguretat informàtica,3,3,6,2,"A mi, personalment hem costa mol aquesta assignatura, i crec que es podria millorar molt, es cer que hi han practicàs, però conten molt poc comparats als exàmens teòrics",,,,,,,,,,,,,,,,
4/11/2019 11:52:36,SMX2A,MP06 - Seguretat informàtica,8,6,8,8,,,,,,,,,,,,,,,,,
4/11/2019 11:52:36,SMX1A,MP02 - Sistemes operatius monolloc,6,7,6,7,,,,,,,,,,,,,,,,,
4/11/2019 11:52:38,SMX2A,MP04 - Sistemes operatius en xarxa,7,6,7,7,,,,,,,,,,,,,,,,,
4/11/2019 11:52:38,SMX1A,MP05 - Xarxes locals,8,6,8,8,En Pau és bon professor però és molt canyer a l'hora de fer exercicis o qualsevol cosa(exàmens) i bona persona.,,,,,,,,,,,,,,,,
